mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__criterion,param_randomforestclassifier__max_samples,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.13455624580383302,0.017207140321709058,0.013933038711547852,0.005760184989459601,gini,0.1,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.1}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.9547511312217193,0.9639617898441427,0.018021798261709746,1
0.1451402187347412,0.009248061869409144,0.01179366111755371,0.006961448246876731,gini,0.2,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.2}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8666666666666667,0.9463448969331321,0.043482539589127414,5
0.14220819473266602,0.01532116381360687,0.014220333099365235,0.007111789154963917,gini,0.30000000000000004,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.30000000000000004}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.9107142857142857,0.9551544207426559,0.0282366349775607,3
0.135357666015625,0.013341880551380171,0.00827169418334961,0.006988852709089383,gini,0.4,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.4}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8666666666666667,0.9463448969331321,0.043482539589127414,5
0.13407387733459472,0.009906480660689837,0.010625410079956054,0.00604731716467234,gini,0.5,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.5}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.18509035110473632,0.03149344635622021,0.0040587902069091795,0.005672509400631824,gini,0.6,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.6}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.14722867012023927,0.00791014108006296,0.013120508193969727,0.00703651583763819,gini,0.7000000000000001,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.7000000000000001}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.14219298362731933,0.018856655737652918,0.019890594482421874,0.007149892382690274,gini,0.8,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.8}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.1334503173828125,0.011012767612323825,0.010402870178222657,0.006643954126152239,gini,0.9,"{'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_samples': 0.9}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.12656221389770508,0.01023214002854498,0.016376733779907227,0.00533119939920624,entropy,0.1,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.1}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.9547511312217193,0.9639617898441427,0.018021798261709746,1
0.13237476348876953,0.012957234936057637,0.011897897720336914,0.006599461397590198,entropy,0.2,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.2}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8666666666666667,0.9463448969331321,0.043482539589127414,5
0.12776556015014648,0.009684594604377598,0.012793588638305663,0.00589194215303092,entropy,0.30000000000000004,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.30000000000000004}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8666666666666667,0.9463448969331321,0.043482539589127414,5
0.14105863571166993,0.010112214219049995,0.00823822021484375,0.010538804020682411,entropy,0.4,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.4}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.9107142857142857,0.9551544207426559,0.0282366349775607,3
0.13573989868164063,0.010419856748709367,0.013067531585693359,0.008225623129334357,entropy,0.5,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.5}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.1399104118347168,0.014712492032205603,0.017438983917236327,0.005611362882040801,entropy,0.6,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.6}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.13047895431518555,0.013076662506920904,0.01911053657531738,0.01271720161991294,entropy,0.7000000000000001,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.7000000000000001}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
0.13967437744140626,0.02329001090883906,0.01249241828918457,0.006257424400466363,entropy,0.8,"{'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_samples': 0.8}",0.9555555555555556,0.9547511312217193,0.9547511312217193,1.0,0.8214285714285715,0.9372972778855131,0.060497648206540106,9
